Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
"Sanduíche de pão francês, c/ presunto, queijo muçarela, alface e tomate",1 unidade média,140,33,287,1201,,,
"Sanduíche de pão sírio com queijo minas, alface e tomate",1 unidade média,130,38,256,1071,,,
Sanduiche de peito de peru (Bob’s®),1 unidade,161,25,278,1163,,,
Sanduíche de peito de peru (Subway)®,1 porção de 15 cm,219,47,289,1209,,,
Sanduiche de peito de peru (Subway®),1 porção de 15cm,234,47,300,1255,,,
Sanduiche de pizza sub (Subway®),1 porção de 15cm,250,50,418,1749,,,
Sanduiche de pizzaiolo (Subway®),1 porção de 15cm,215,48,331,1385,,,
Sanduíche de presunto (Subway)®,1 porção de 15 cm,204,46,273,1142,,,
Sanduiche de presunto (Subway®),1 porção de 15cm,222,46,286,1197,,,
Sanduiche de presunto e peito de peru (Subway®),1 porção de 15cm,245,47,312,1305,,,
Sanduíche de rosbife (Subway)®,1 porção de 15 cm,222,45,304,1272,,,
Sanduiche de rosbife (Subway®),1 porção de 15cm,237,46,315,1318,,,
Sanduiche de subway club TM (Subway®),1 porção de 15cm,275,47,350,1464,,,
Sanduiche de subway melt TM (Subway®),1 porção de 15cm,270,47,419,1753,,,
"Sanduíche misto quente (pão forma integral, c/ presunto e queijo muçarela)",1 unidade,110,26,257,1075,,,
Sanduíche natural,1 unidade média,120,29,265,1109,,,
Sanduíche queijo quente,1 unidade,85,33,300,1255,,,
"Sanduíche queijo quente (pão branco tradicional, queijo mussarela e manteiga)",1 unidade,90,24,299,1251,,,
Sanduíche Salada de frango (Bob's) ®,1 unidade,0,31,331,1385,,,
Sanduíche Steak churrasco (Subway) ®,1 porção de 15 cm,226,51,378,1582,,,
Sanduíche Subway Club (Subway)®,1 porção de 15 cm,260,47,335,1402,,,
Sanduiche vegetariano (Subway®),1 porção de 15cm,177,46,239,1000,,,
Sanduíche vegetariano Sub Veg (Subway)®,1 porção de 15 cm,283,48,654,2736,,,
"Sanduíche, cheese salada (hambúrguer bovino grelhado c/ pão hambúrguer, queijo prato, alface e tomate",1 unidade,210,49,499,2088,,,
"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer, alface e tomate",1 unidade,160,47,334,1397,,,
"Sanduíche, hambúrguer de grão de bico (pão vegano), alface e tomate, c/ maionese vegana",1 unidade,100,32,236,987,,,
"Sanduíche, pão forma tradicional, atum em conserva e maionese",1 unidade,100,28,225,941,,,
Sapoti,1 unidade pequena,50,13,48,201,,,
Sapoti,1 unidade pequena,60,16,58,243,,,
Saquê,1 dose,50,3,11,46,,,
Saquê ou Sakê,1 dose,50,3,67,280,,,
Sarapatel,1 porção,100,1,123,515,,,
Sardinha assada,1 porção,100,0,164,686,,,
Sardinha enlatada em molho de tomate,1 unidade média,41,0,108,452,,,
Sardinha enlatada em molho de tomate,1 unidade média,33,0,63,264,,,
Sardinha enlatada em óleo,1 unidade média,41,0,116,485,,,
Sardinha enlatada em óleo,1 unidade média,33,0,65,272,,,
Sardinha frita,1 unidade média,100,0,257,1075,,,
Sardinha frita,1 unidade média,33,1,120,502,,,
Sardinha inteira crua,1 porção,100,0,144,602,,,
Sashimi de atum,1 fatia,10,0,"12,1",51,,,
Sashimi de salmão,1 fatia,10,0,20,84,,,
Semente de abóbora com casca,2 colheres de sopa cheia,8,4,37,155,,,
Semente de abóbora descascada Jasmine ®,1 colher de sopa rasa,7,1,32,134,,,
Semente de chia Jasmine ®,1 colher de sopa rasa,7,3,37,155,,,
Semente de Gergelim,1 colher de sopa cheia,6,1,37,155,,,
Semente de girassol com casca,1 colher de sopa cheia,5,1,33,138,,,
Semente de girassol sem casca,1 colher de sopa cheia,5,1,31,130,,,
Semente de linhaça dourada,1 colher de sobremesa rasa,8,3,42,176,,,
Semente de linhaça marrom,1 colher de sobremesa rasa,8,0,32,134,,,
Semente de linhaça moída,1/2 colher de sopa cheia,8,0,32,134,,,
Shitake em óleo,1 colher de sopa,35,5,21,88,,,
Shitake frito,1 colher de sopa,10,7,50,209,,,
Shoyo,1 colher de sopa cheia,12,1,9,38,,,
shoyu,1 colher de sopa cheia,6,1,4,17,,,
Siri,1 unidade pequena,16,0,15,63,,,
Soja cozida,1 colher de servir cheia,28,4,44,184,,,
Soja cozida,1 colher de sopa cheia,17,2,29,121,,,
Sopa caldo verde,1 concha média,130,8,104,435,,,
Sopa caldo verde,1 concha média,130,7,80,335,,,
"Sopa canja (frango, peito, c/ cenoura, batata, tomate e aipo (salsão), arroz polido)",1 concha média,130,8,90,377,,,
Sopa de aipim /macaxeira,1 concha média,130,18,85,356,,,
Sopa de cebola (caldo),1 concha média,140,8,"37,8",158,,,
Sopa de cebola (creme),1 concha média,130,6,58,243,,,
Sopa de cogumelo (caldo),1 concha média,130,2,10,42,,,
Sopa de cogumelo (creme),1 concha média,130,12,139,582,,,
Sopa de creme de ervilha enlatada,1 concha média,130,27,152,636,,,
Sopa de creme de ervilha industrializada,1 concha média,130,6,37,155,,,
Sopa de ervilha,1 concha média,130,26,165,690,,,
Sopa de espinafre (creme),1 concha média,130,6,64,268,,,
Sopa de espinafre (creme),1 concha média,130,5,110,460,,,
Sopa de feijão branco,1 concha média,130,18,126,527,,,
Sopa de feijão branco (Cassoulet),1 concha média,100,9,171,715,,,
Sopa de feijão preto,1 concha média,130,14,71,297,,,
Sopa de frango,1 concha média,130,3,46,192,,,
"Sopa de frango com vegetais (cenoura, chuchu, abóbora e batata)",1 concha média,130,5,81,339,,,
Sopa de inhame,1 concha média,130,13,70,293,,,
Sopa de legumes com carne,1 concha média,130,8,100,418,,,
"Sopa de legumes com carne (músculo, cenoura, chuchu, abóbora e batata)",1 concha média,130,4,103,431,,,
Sopa de lentilhas enlatada,1 concha média,130,16,108,452,,,
Sopa de macarrão,1 concha média,130,19,132,552,,,
Sopa de macarrão com vegetais,1 concha média,130,15,79,331,,,
Sopa de milho (fubá),1 concha média,130,17,90,377,,,
Sopa de milho na mateiga 19g Knorr Quick®,1 unidade,19,12,77,322,,,
Sorvete (casquinha) baunilha (Bob s)®,1 unidade,,28,176,736,,,
Sorvete (casquinha) baunilha (Bob's)®,1 unidade,0,28,176,736,,,
Sorvete (casquinha) baunilha (Bob’s®),1 unidade,124,39,220,920,,,
Sorvete (média),1 bola média,60,19,161,674,,,
Sorvete copo light Kibon®,1 unidade,63,4,39,163,,,
Sorvete copo sundae morango Kibon®,1 unidade,84,25,164,686,,,
Sorvete cornetto brigadeiro Kibon®,1 unidade,79,23,239,1000,,,
Sorvete cornetto caramelo Kibon®,1 unidade,75,28,224,937,,,
Sorvete cornetto crocante Kibon®,1 unidade,72,27,247,1033,,,
Sorvete de baunilha c/ cobertura de chocolate suíço 360g (Smooth’n’ creamy®) - Kosher for passover,2 unidades,30,16,135,565,,,
Sorvete de casquinha baunilha (Mc Donalds)®,1 unidade,,31,185,774,,,
Sorvete de casquinha baunilha (Mc'Donalds)®,1 unidade,0,31,185,774,,,
Sorvete de casquinha baunilha (Mc’Donalds®),1 unidade,,32,192,803,,,
Sorvete de casquinha chocolate (Mc Donalds)®,1 unidade,,31,192,803,,,
Sorvete de casquinha chocolate (Mc'Donalds)®,1 unidade,0,31,192,803,,,
Sorvete de casquinha chocolate (Mc’Donalds®),1 unidade,,31,192,803,,,
Sorvete de casquinha mista (Mc Donalds),1 unidade,,31,182,761,,,
Sorvete de casquinha mista (Mc'Donalds),1 unidade,0,31,182,761,,,
Sorvete de casquinha mista (Mc’Donalds®),1 unidade,,31,192,803,,,
Sorvete de creme Kibon ®,1 bola média,60,14,102,427,,,
Sorvete de flocos Nestlé®,1 bola,60,14,121,506,,,
Sorvete de frutas,1 colher de sopa cheia,50,15,63,264,,,
Sorvete de frutas,1 unidade,50,15,63,264,,,
Sorvete de massa crocante crunch Nestlé®,1 bola grande,100,36,187,782,,,
Sorvete de massa de \bacaxi Nestlé®,1 bola média,80,27,161,674,,,
Sorvete de massa de abacaxi Nestlé®,1 bola média,80,27,161,674,,,
Sorvete de massa de chiclete Nestlé®,1 bola grande,100,25,195,816,,,
Sorvete de massa de creme Nestlé®,1 bola média,80,20,144,602,,,
Sorvete diet/light (média),1 bola média,60,10,62,259,,,
Sorvete eski -bon crocante Kibon®,1 unidade,49,13,162,678,,,
Sorvete eski -bon Kibon®,1 unidade,48,12,159,665,,,
Sorvete eskibon Kibon®,1 unidade,48,12,159,665,,,
Sorvete Garoto chocolate ao leite®,1 bola média,60,17,123,515,,,
Sorvete Garoto chocolate branco e negresco®,1 bola média,60,12,112,469,,,
Sorvete Kibon Cremosíssimo Napolitano®,1 bola média,60,16,116,485,,,
Sorvete Kibon Deliciosamente Vegano®,1 pote,800,24,180,753,,,
Sorvete la fruta Nestlé®,1 bola grande,100,27,108,452,,,
Sorvete massa de morango Nestlé®,1 bola grande,100,27,186,778,,,
Sorvete massa galak Nestlé®,1 bola média,80,20,162,678,,,
Sorvete McColosso Chocolate ( Mc'Donalds)®,1 unidade,0,51,293,1226,,,
Sorvete McFlurry Ovomaltine (Mc'Donalds)®,1 unidade,0,69,404,1690,,,
Sorvete Moça brigadeiro®,1 bola média,60,19,112,469,,,
Sorvete moça doce de leite Nestlé®,1 bola grande,100,27,181,757,,,
Sorvete moça fiesta brigadeiro Neslté®,1 bola grande,100,31,221,925,,,
Sorvete prestígio Nestlé®,1 bola grande,100,24,229,958,,,
Sorvete sedução manjar branco Nestlé®,1 bola grande,100,27,195,816,,,
Sorvete sedução mousse chocolate Nestlé®,1 bola grande,100,36,230,962,,,
Sorvete sedução romeu e julieta Nestlé®,1 bola grande,100,29,185,774,,,
Sorvete sem parar Nestlé®,1 unidade copo,110,39,217,908,,,
Sorvete Sensação®,1 bola média,60,17,120,502,,,
Sorvete troppo chocolate Nestlé®,1 unidade,79,25,224,937,,,
Sorvete troppo crocante Nestlé®,1 unidade,76,29,229,958,,,
Sorvete troppo flocos Nestlé®,1 unidade,76,28,214,895,,,
Sorvete troppo morango Nestlé®,1 unidade,79,30,942,3941,,,
Spaghetti ao sugo,1 pegador,110,22,170,711,,,
Stacker Duplo Bacon (Burger King)®,1 unidade,0,20,157,657,,,
Steak tartare,1 porção pequena,100,2,199,833,,,
SteakhouseTM burguer (Burguer King®),1 unidade,,57,936,3916,,,
SteakhouseTM junior (Burguer King®),1 unidade,,33,560,2343,,,
Strogonoff de carne,1 colher de sopa cheia,25,1,42,176,,,
Strogonoff de frango,1 colher de sopa cheia,25,1,38,159,,,
Strogonoff de pinhão com shitake,1 porção,250,48,374,1565,,,
Strogonoft de carne,1 colher de sopa cheia,25,0,43,180,,,
Strogonoft de frango,1 colher de sopa cheia,25,0,50,209,,,
Strudel de Amêndoas (Hungaria®),1 porção pequena,100,45,285,1192,,,
Strudel de Frango com Catupiry (Hungaria®),1 porção pequena,100,31,546,2284,,,
Strudel de frango com catupiry Hungaria®,1 porção pequena,100,31,546,2284,,,
Strudel de maçã,1 fatia pequena,50,21,137,573,,,
Strudel de maçã,1 fatia grande,220,59,396,1657,,,
Strudel de Maçã (Hungaria),1 porção pequena,100,30,157,657,,,
Strudel de Maçã (Hungaria®),1 porção pequena,100,30,157,657,,,
Strudel de queijo,1 fatia fina,76,22,188,787,,,
Suco de abacaxi com açúcar,1 copo duplo cheio,240,27,112,469,,,
Suco de abacaxi com açúcar,1 copo duplo cheio,240,25,103,431,,,
Suco de abacaxi sem açúcar,1 copo duplo cheio,240,10,41,172,,,
Suco de acerola com açúcar,1 copo duplo cheio,240,15,62,259,,,
Suco de acerola com açúcar,1 copo duplo cheio,240,14,62,259,,,
Suco de acerola sem açúcar,1 copo duplo cheio,240,3,15,63,,,
Suco de laranja (envasado),1 copo duplo cheio,240,26,116,485,,,
Suco de laranja (fresco),1 copo duplo cheio,240,31,140,586,,,
Suco de laranja 100% Maratá,1 copo,200,21,84,351,,,
Suco de laranja bahia sem açúcar,1 copo,200,21,90,377,,,
Suco de laranja Del Valle®,1 copo grande,300,29,116,485,,,
"Suco de laranja,cenoura sem açúcar",1 copo,200,15,66,276,,,
"Suco de laranja,cenoura sem açúcar",1 copo duplo cheio,240,31,137,573,,,
Suco de mamão com açúcar,1 copo duplo cheio,240,22,91,381,,,
Suco de mamão sem açúcar,1 copo,200,11,46,192,,,
Suco de manga com açúcar,1 copo duplo cheio,240,23,96,402,,,
Suco de manga light Dell Valle®,1 copo,200,9,37,155,,,
Suco de manga sem açúcar,1 copo,200,10,40,167,,,
Suco de maracujá com açúcar,1 copo,200,12,52,218,,,
Suco de maracujá com açúcar,1 copo duplo cheio,240,17,70,293,,,
Suco de melão com açúcar,1 copo duplo cheio,240,19,77,322,,,
Suco de melão com açúcar,1 copo duplo cheio,240,20,82,343,,,
Suco de morango,1 copo duplo cheio,240,11,52,218,,,
Suco de morango com açúcar,1 copo duplo cheio,240,19,83,347,,,
Suco de morango sem açúcar,1 copo duplo cheio,240,"8,5",38,159,,,
Suco de pessego,1 copo duplo cheio,240,8,38,159,,,
Suco de pêssego néctar (com açúcar),1 copo duplo cheio,240,"33,4",134,561,,,
Suco de tomate,1 copo duplo cheio,240,11,58,243,,,
Suco de tomate enlatado,1 copo duplo cheio,240,10,49,205,,,
Suco de tomate sem açúcar,1 copo,200,"8,6",38,159,,,
Suco de uva engarrafado,1 copo duplo cheio,240,36,151,632,,,
Suco de uva integral,1 copo duplo cheio,240,"35,4",146,611,,,
Suco de uva Kapo ®,1 caixinha,200,23,106,444,,,
Suco de uva Kapo®,1 caixinha,200,19,79,331,,,
Suco natural de maracujá sem açúcar,1 copo,200,2,14,59,,,
"Suco natural, melão sem açúcar",1 copo duplo cheio,240,7,31,130,,,
Sucrilhos,1 colher de sopa cheia,5,5,19,79,,,
Sucrilhos Kelloggs® Cereal Matinal,1 xícara,30,26,109,456,,,
Suflê de alho poró com molho branco e parmesão,1 colher de servir,60,8,123,515,,,
Suflê de batata baroa com molho branco e parmesão,1 colher de servir,60,8,83,347,,,
Suflê de espinafre,1 colher de sopa cheia,55,1,89,372,,,
Suflê de frango com molho branco e parmesão,1 colher de servir,60,5,97,406,,,
Suflê de legumes,1 colher de sopa cheia,55,5,70,293,,,
Sundae caramelo (Mc'Donalds) ®,1 unidade,0,48,310,1297,,,
Sundae caramelo (Mc’Donalds®),1 unidade,,51,323,1351,,,
Sundae chocolate (Bob's) ®,1 unidade,172,80,463,1937,,,
Sundae Chocolate (Bob's)®,1 unidade,0,49,331,1385,,,
Sundae chocolate (Bob’s®),1 unidade,172,80,463,1937,,,
Sundae chocolate (Mc'Donalds) ®,1 unidade,0,44,311,1301,,,
Sundae chocolate (Mc’Donalds®),1 unidade,,40,290,1213,,,
Sundae Morango (Bob's)®,1 unidade,0,62,389,1628,,,
Sundae morango (Mc'Donalds) ®,1 unidade,0,46,290,1213,,,
Sundae morango (Mc’Donalds®),1 unidade,,47,292,1222,,,
Super McShake coco (Mc’ Donalds®),1 copo pequeno,300,50,312,1305,,,
Super McShake flocos (Mc’ Donalds®),1 copo pequeno,300,63,334,1397,,,
Super McShake morango (Mc’ Donalds®),1 copo pequeno,300,64,336,1406,,,
Sushi,1 unidade média,22,14,57,238,,,
"Sushi (com arroz para sushi (vinagre de arroz, açúcar e sal), alga nori, salmão e cream cheese)",1 unidade média,30,7,51,213,,,
"Sushi c/ pepino, manga e salmão, (arroz para sushi (c/ vinagre de arroz, açúcar e sal), alga nori, pepino, manga e salmão)",1 unidade média,30,7,40,167,,,
Sushi de Atum,1 unidade,30,7,40,167,,,
Sushi de Salmao,1 unidade,30,7,38,159,,,
Sushi de Salmão,1 unidade,30,7,38,159,,,
Suspiro,1 unidade média,10,9,"36,6",153,,,
Sustagem,1 colher de sopa cheia,16,10,62,259,,,
"Sustagen kids (média: chocolate, baunilha e morango)",1 colher de sopa,9,8,35,146,,,
Tablete Alpino Diet,1 unidade,30,17,143,598,,,
Tablete Alpino® Diet,1 unidade,30,17,143,598,,,
Taça Habib’s®,1 unidade,330,69,554,2318,,,
Tainha,1 posta pequena,100,0,204,854,,,
Tainha peixe filé cozido,1 posta pequena,100,0,189,791,,,
Tâmara seca,1 porção média,40,32,124,519,,,
Tâmara seca,1 unidade,10,7,28,117,,,
Tambaqui (filé cru),1 pedaço médio,100,0,151,632,,,
Tambaqui recheado com castanha do pará e abricó,1 filé,156,3,236,987,,,
Tangerina,1 unidade média,135,15,67,280,,,
Tangerina ou bergamota,1 unidade média,135,45181,"51,3",215,,,
Tapioca pronta,1 unidade pequena,100,43,174,728,,,
"Tapioca, c/ queijo coalho e mussarela",1 unidade média,110,57,327,1368,,,
"Tapioca, com/ leite condensado e coco",1 unidade média,110,67,344,1439,,,
Tapioca/Beiju pronta com manteiga,1 unidade pequena,80,50,282,1180,,,
Tapioquinha com queijo e coco ralado,1 unidade pequena,100,62,430,1799,,,
Tapioquinha com tucumã,1 unidade média,100,48,360,1506,,,
Tartar de salmão,1 unidade,63,1,178,745,,,
Tartar de salmão com molho sour cream,1 porção,100,5,265,1109,,,
Tarte de bacalhau,1 unidade média,90,27,282,1180,,,
Tatu (carne),1 porção,100,0,172,720,,,
Tatu (carne) recheado com lingüiça,1 fatia,100,3,259,1084,,,
Temaki,1 unidade,100,20,149,623,,,
Temaki (média),1 unidade,120,24,258,1079,,,
Temaki de Atum,1 unidade,100,18,157,657,,,
Temaki de Salmao,1 unidade,100,18,190,795,,,
Temaki de Salmão,1 unidade,100,18,190,795,,,
Tempero Maggi fondor ®,1 colher de chá,5,45170,9,38,,,
Tempero Maggi® amaciante de carnes,1 colher de sopa cheia,10,2,14,59,,,
Tempero Maggi® fondor,1 colher de sopa cheia,10,2,14,59,,,
Tender,1 fatia fina,100,0,146,611,,,
Tender de porco bola,1 fatia média,35,0,42,176,,,
"Terrine de legumes, com macaúba e major-gomes",1 porção pequena,50,2,60,251,,,
Terrine ligth (peito de peru),1 porção,130,14,131,548,,,
Tiramissu,1 porção,100,21,364,1523,,,
Tiramissu,1 unidade,100,21,364,1523,,,
Tiramissú de frutas,1 taça,200,23,138,577,,,
Tiramisú,1 fatia média,100,33,305,1276,,,
Tiramisú,1 unidade,100,21,364,1523,,,
Tiramisú gelato sem açúcar,1 fatia média,100,13,112,469,,,
Toddy original pó ®,2 colheres de sopa,20,18,77,322,,,
Toddynho ®,1 caixinha,200,26,161,674,,,
Toddynho Levinho®,1 caixinha,200,17,105,439,,,
Tomate,1 unidade pequena,50,2,10,42,,,
"Tomate, molho industrializado",1 porção,100,45114,38,159,,,
"Tomate, purê de (enlatado)",1 colher de sopa cheia,20,1,8,33,,,
"Tomate, purê industrializado",1 colher de sopa,20,"0,78",3,13,,,
Top sundae caramelo (Mc’ Donalds®),1 unidade,,77,508,2125,,,
Top sundae caramelo (Mcdonald's) ®,1 unidade,0,68,436,1824,,,
Top sundae chocolate (Mc’ Donalds®),1 unidade,,65,475,1987,,,
Top sundae chocolate (Mcdonald's) ®,1 unidade,0,63,437,1828,,,
Top sundae morango (Mc’ Donalds®),1 unidade,,73,478,2000,,,
Top sundae morango (Mcdonald's) ®,1 unidade,0,66,416,1741,,,
Toranja,1 unidade pequena,100,10,39,163,,,
Torrada de pão francês caseira,1 unidade,8,45174,29,121,,,
Torrada Integral Bauducco,1 unidade,10,6,35,146,,,
Torrada Magic Toast®,7 biscoitos,25,19,71,297,,,
Torradas,1 unidade,8,5,25,105,,,
"Torradas alho,água e sal Casa Victoriana®",10 unidades,30,16,150,628,,,
Torradas aperitivo,1 unidade,2,1,7,29,,,
Torresmo,1 colher de sopa cheia,10,0,54,226,,,
Torresmo,1 escumadeira,90,0,541,2264,,,
Torta Alemâ,1 fatia pequena,50,16,192,803,,,
Torta Alemã,1 fatia pequena,50,16,192,803,,,
Torta Churros Tortamania®,1 fatia fina,60,39,215,900,,,
Torta de banana (Mc’ Donalds®),1 unidade,,34,228,954,,,
Torta de banana (Mcdonald's)®,1 unidade,0,39,268,1121,,,
Torta de batata com carne,1 fatia fina,80,8,116,485,,,
Torta de batata com carne,1 fatia média,80,"7,84",116,485,,,
Torta de carne,1 fatia média,85,16,209,874,,,
Torta de frango,1 fatia média,100,"15,2",207,866,,,
Torta de frango,1 fatia média,85,16,200,837,,,
Torta de limão,1 fatia pequena,50,"25,4",181,757,,,
Torta de limão,1 fatia pequena,90,34,217,908,,,
Torta de maçã (Mc’ Donalds®),1 unidade,,26,198,828,,,
Torta de maçã (Mcdonald's) ®,1 unidade,0,45,302,1264,,,
Torta de morango,1 fatia pequena,60,29,150,628,,,
Torta Floresta Negra,1 fatia pequena,50,22,133,556,,,
Torta Floresta Negra Tortamania®,1 fatia pequena,60,24,163,682,,,
Torta holandesa,1 porção pequena,60,22,181,757,,,
Torta mesclada de morango Tortamania®,1 fatia fina,60,29,150,628,,,
Torta Mousse de chocolate com raspas de chocolate Sadia®,1 Fatia fina,50,21,198,828,,,
Torta mousse de limão Miss Daisy®,1/8 do pacote,60,16,121,506,,,
Torta Mousse de maracujá Sadia®,1 fatia fina,50,18,96,402,,,
Torta quente (Burguer King®),1 unidade,,24,142,594,,,
Tortellini com recheio de carne,1 porção,190,33,367,1536,,,
Toucinho cru,1 porção,100,0,593,2481,,,
"Toucinho defumado (bacon), frito, c/ alho e alecrim",1 fatia fina,15,1,98,410,,,
Tremoço cru,1 colher de sopa cheia,15,6,49,205,,,
Tremoço em conserva,1 colher de sopa,20,3,21,88,,,
Trigo cozido,1 colher de sopa cheia,25,6,28,117,,,
Trigo em grão,1 colher de sopa cheia,25,20,91,381,,,
Trigo grão cru,1 colher de sopa,20,15,67,280,,,
Trigo para quibe cozido,1 colher de sopa,25,45081,19,79,,,
"Trigo, bolo de",1 fatia média,60,36,203,849,,,
"Trigo, farelo de",1 colher de sopa rasa,10,"1,78",27,113,,,
"Trigo, gérmen de",1 colher de sopa cheia,10,45142,37,155,,,
Triplo cheese (Bob’s®),1 unidade,245,35,694,2904,,,
Trufa de chocolate,1 unidade grande,30,15,140,586,,,
Trufa de chocolate com cereja,1 unidade grande,50,45014,246,1029,,,
Trufa de chocolate com cereja e licor caseiro,1 unidade grande,50,29,243,1017,,,
Tucumã descascado,1 colher de sopa cheia,30,2,142,594,,,
Tucumã in natura,1 unidade,50,13,130,544,,,
Tucunaré (filé cru),1 pedaço médio,120,0,113,473,,,
Tucunaré (filé cru),1 pedaço médio,100,0,102,427,,,
Tutu de feijão,1 colher de servir cheia,60,9,92,385,,,
Tutu de feijão,1 colher de sopa cheia,20,7,43,180,,,
Uísque,1 dose,50,0,105,439,,,
Umbu,1 unidade,30,3,11,46,,,
Umbu (Polpa),1 unidade,100,8,36,151,,,
Uramaki califórnia,1 unidade,20,10,47,197,,,
Uramaki Filadélfia,1 unidade,20,16,81,339,,,
Uramaki salmão,1 unidade,20,4,25,105,,,
Uramaki salmão,1 unidade,22,10,62,259,,,
Uva comum,1 unidade,8,1,6,25,,,
Uva do tipo européia,1 cacho pequeno,100,18,79,331,,,
Uva itália (uva verde),1 unidade,8,1,5,21,,,
Uva Niágara - Comum,1 cacho pequeno,100,17,68,285,,,
Uva passa,1 colher de sopa cheia,18,14,55,230,,,
Uva passa Branca,1 colher de sopa,15,12,45,188,,,
Uva passa escura,1 colher de sopa,15,12,44,184,,,
Uva Rubi,1 unidade,8,1,4,17,,,
Uva Thompson/Crimson,1 unidade,8,1,4,17,,,
Uva Vitória,1 cacho pequeno,100,17,67,280,,,
"Uva, geléia de",1 colher de sopa cheia,20,12,49,205,,,
Uxi (polpa),1 porção média,100,38,252,1054,,,
Vaca atolada,1 concha média cheia,175,79,639,2674,,,
Vaca atolada,1 concha média cheia,100,3,259,1084,,,
Vagem comum em conserva,1 colher de sopa cheia,20,1,4,17,,,
Vagem cozida,1 colher de sopa cheia,20,2,7,29,,,
Vatapá,1 unidade,100,10,254,1063,,,
Vatapá,1 unidade,100,9,127,531,,,
Vieiras,2 unidades grandes,30,1,26,109,,,
Vinagre,1 colher de sopa cheia,15,0,2,8,,,
Vinagre Balsâmico,1 colher de sopa cheia,15,3,14,59,,,
Vinagrete,1 colher de sopa cheia,30,1,23,96,,,
Vinho (média),1 taça,150,6,26,109,,,
Vinho branco,1 taça,150,5,21,88,,,
Vinho branco demi sec,1 taça,150,5,21,88,,,
Vinho branco seco,1 taça,150,1,99,414,,,
Vinho de jenipapo,1 taça,150,38,152,636,,,
Vinho Espumante Brut,1 taça,150,3,135,565,,,
Vinho Espumante doce,1 taça,150,8,147,615,,,
Vinho quente,1 copo,150,24,98,410,,,
Vinho rosé,1 taça,150,2,107,448,,,
Vinho Tinto Seco,1 taça,150,2,108,452,,,
Vinho Tinto Suave,1 taça,150,5,111,464,,,
Vitamina de fruta com suco,1 copo duplo cheio,240,49,223,933,,,
Vitamina de Frutas com leite e açúcar,1 copo duplo cheio,240,36,223,933,,,
Vitamina de Frutas com leite sem açúcar,1 copo duplo cheio,240,20,160,669,,,
Vitela Assada,1 fatia grande,100,0,160,669,,,
Vodka,1 dose,50,0,113,473,,,
Waffer- média sabores,1 unidade,7,3,21,88,,,
Waffle tradicional Forno de Minas®,1 1/2 unidade,50,19,161,674,,,
Wafter®- média sabores,1 unidade,"7,5",3,21,88,,,
Wasabi,1 colher de chá,5,2,13,54,,,
Whey protein concentrado em pó Marcas,1 dosador,30,45048,110,460,,,
Whey protein hidrolisado em pó,1 dosador,30,44959,105,439,,,
Whey protein isolado em pó,1 dosador,30,45078,112,469,,,
Whisky (39%),1 dose,50,0,137,573,,,
Whopper JR® com queijo (Burguer King®),1 unidade,,31,464,1941,,,
Whopper® com queijo (Burguer King®),1 unidade,,52,757,3167,,,
Whopper® duplo com queijo (Burguer King®),1 unidade,,52,978,4092,,,
Wrap de salmão,1 unidade,300,44,377,1577,,,
Wrap de vegetais,1 unidade,273,63,459,1920,,,
Wrap fit (Rap 10),1 unidade,40,21,101,423,,,
Wrap integral (Rap 10),1 unidade,40,18,116,485,,,
Wrap tradicional (Rap 10),1 unidade,40,20,117,490,,,
Xilitol,1 colher de chá,3,3,8,33,,,
Xinxim de galinha,1 porção,150,1,358,1498,,,
Yacon (batata),1 unidade,100,45024,33,138,,,
Yakimeshi,1 porção,100,21,134,561,,,
Yakisoba,1 porção média,120,22,146,611,,,
Yakult,1 unidade,80,11,50,209,,,
Yakult light,1 unidade,80,45143,30,126,,,
Yakult®,1 unidade,80,11,50,209,,,
YoPRO Bebida Láctea UHT 15g de proteínas®,1 unidade,250,19,158,661,,,
YoPRO Bebida Láctea UHT 25g de proteínas®,1 unidade,250,13,188,787,,,
